Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
딤딤섬 파르나스몰점,중식,영업중,매일 10:30 ~ 21:30,3.3,355,,서울 강남구 테헤란로 521 파르나스몰 지하1층,11
문배동육칼 삼성직영점,한식,영업중,월~금 09:30 ~ 20:30,4.0,22,,서울 강남구 삼성로96길 3,4
아메리칸테이블,양식,영업중,월~금 10:00 ~ 22:20,후기미제공,99,,서울 강남구 영동대로112길 66 1층,29
돈주는남자,"육류,고기",영업중,월~금 11:30 ~ 23:00,5.0,28,,서울 강남구 봉은사로108길 3-10,25
서백자간장게장,"게,대게",null data,null data,4.4,9,,서울 강남구 삼성로 542 2층,8
사계절,"해물,생선",영업중,월~토 11:30 ~ 22:00,3.8,42,,서울 강남구 테헤란로107길 6,21
란주쿠,일본식주점,null data,null data,2.4,11,,서울 강남구 봉은사로82길 31 예논빌딩 1층,10
생활맥주 삼성코엑스점,"호프,요리주점",영업중,매일 17:00 ~ 02:00,2.7,19,,서울 강남구 삼성로104길 18,10
레트로오븐,"제과,베이커리",휴무일,"월,일요일",4.6,22,,서울 강남구 봉은사로55길 25 1층 101호,26
루나아시아,인도음식,영업중,월~금 11:00 ~ 22:00,4.1,50,,서울 강남구 삼성로100길 15 1층,7
르뱅룰즈 선릉점,"제과,베이커리",영업중,매일 10:00 ~ 19:00,4.5,50,,서울 강남구 삼성로95길 27 1층,3
바이트샌드위치&샐러드,샌드위치,영업중,월~금 08:00 ~ 21:00,5.0,28,,서울 강남구 봉은사로 474 1층 102호,15
오징어세상 삼성점,회,영업중,매일 14:00 ~ 05:00,3.2,28,,서울 강남구 삼성로96길 15,6
스시유리,일식,null data,null data,3.6,83,,서울 강남구 테헤란로83길 36,7
명우돈가,한정식,영업중,매일 11:00 ~ 24:00,4.0,13,,서울 강남구 삼성로96길 6,4
JVL부대찌개 삼성본점,"찌개,전골",영업중,매일 11:00 ~ 22:00,3.0,29,,서울 강남구 테헤란로81길 46,7
매드포갈릭 봉은사아이파크타워점,매드포갈릭,영업중,매일 11:30 ~ 21:00,3.8,9,,서울 강남구 영동대로 520 지하 1층,20
포스톤즈커피로스터스,카페,영업중,월~금 08:00 ~ 21:00,4.3,112,,서울 강남구 테헤란로103길 5 1층,18
라스키친,양식,영업중,매일 16:00 ~ 02:00,4.6,31,,서울 강남구 테헤란로83길 40 2층,8
푸세울닭,치킨,영업중,매일 14:00 ~ 02:00,3.6,18,,서울 강남구 영동대로 510,16
프로간장게장 삼성동코엑스점,"게,대게",영업중,매일 11:00 ~ 22:00,2.7,5,,서울 강남구 테헤란로83길 53,9
써브웨이 삼성점,써브웨이,영업중,매일 08:00 ~ 23:00,2.0,11,,서울 강남구 삼성로 520,4
훠궈야 파르나스몰점,샤브샤브,영업중,매일 10:00 ~ 22:00,2.8,126,,서울 강남구 테헤란로 521 지하 1층,11
문어앤치킨 삼성점,치킨,영업중,매일 17:00 ~ 03:00,3.8,64,,서울 강남구 삼성로104길 24,10
반포식스 선릉역점,베트남음식,영업중,매일 11:00 ~ 22:00,1.8,22,,"서울 강남구 선릉로 518 2,3층",14
스타벅스 청담공원점,스타벅스,영업중,매일 07:00 ~ 21:00,3.9,13,,서울 강남구 학동로 506 보라티알 빌딩 1층,30
스타벅스 선정릉역,스타벅스,영업중,월~금 07:00 ~ 20:00,3.3,13,,서울 강남구 봉은사로 407,23
클로리스티룸 코엑스몰점,카페,영업중,매일 10:00 ~ 22:00,4.2,18,,서울 강남구 영동대로 513 I109호,15
폴리스 파르나스몰점,피자,영업중,매일 11:30 ~ 22:00,3.1,141,,서울 강남구 테헤란로 521 지하 1층 F13호,11
하루방,한식,영업중,월~금 10:30 ~ 20:10,4.7,34,,서울 강남구 봉은사로 420,20
아오끼,일식집,null data,null data,3.8,1,,서울 강남구 선릉로100길 30,12
르뱅룰즈,"제과,베이커리",영업중,매일 10:00 ~ 19:00,4.5,75,,서울 강남구 선릉로 660 브라운스톤 레전드 1층 F105호,33
불이아 삼성점,중식,영업중,매일 11:00 ~ 23:00,4.7,28,,서울 강남구 테헤란로87길 55,11
온더보더 코엑스도심공항점,온더보더,영업중,매일 11:00 ~ 22:00,3.7,121,,서울 강남구 테헤란로87길 22 도심공항몰 1층,9
그랜드인터컨티넨탈 서울파르나스 로비라운지&바,카페,영업중,매일 09:00 ~ 23:00,3.8,27,,서울 강남구 테헤란로 521 1층,11
우마쿠라,일식집,브레이크타임,월~금 11:30 ~ 00:30,2.0,36,,서울 강남구 선릉로100길 54,7
빌리엔젤 삼성코엑스몰점,디저트카페,영업중,매일 10:00 ~ 22:00,3.5,9,,서울 강남구 영동대로 513 1층 B003호,15
청담면옥,냉면,영업중,매일 10:30 ~ 22:00,3.4,2,,서울 강남구 선릉로 664,34
사이드에이,양식,영업중,월~토 11:00 ~ 23:00,4.9,47,,서울 강남구 봉은사로 507 우림보보카운티 1층,16
본가신의주찹쌀순대,순대,영업중,매일 00:00 ~ 24:00,2.1,8,,서울 강남구 봉은사로 636,26
전주순대국,순대,영업중,매일 09:00 ~ 09:00,3.2,31,,서울 강남구 테헤란로69길 10,5
오스카,"호프,요리주점",영업중,매일 17:00 ~ 02:00,3.6,22,,"서울 강남구 삼성로104길 21 1, 2층",11
뽕사부 삼성점,중화요리,null data,null data,3.7,38,,서울 강남구 삼성로104길 16 1층,10
인터컨티넨탈서울코엑스 스카이라운지,이탈리안,브레이크타임,월~금 11:30 ~ 24:00,3.7,65,,서울 강남구 봉은사로 524 30층,15
강남김밥,분식,영업중,월~금 06:00 ~ 20:00,4.4,12,,서울 강남구 선릉로130길 20,33
페리지,이탈리안,null data,null data,4.7,34,,서울 강남구 봉은사로68길 6-5 1층,16
글로브비스트로,이탈리안,null data,null data,3.0,126,,서울 강남구 테헤란로 521 파르나스타워 지하1층 F-19호,11
폴바셋 NC타워삼성점,폴바셋,영업중,월~금 07:30 ~ 22:00,4.2,6,,서울 강남구 테헤란로 509 1층,5
소연 삼성점,국수,영업중,매일 11:00 ~ 21:30,3.4,15,,서울 강남구 봉은사로84길 24-2,12
스타벅스 코엑스몰점,스타벅스,영업중,월~금 07:00 ~ 22:00,3.5,18,,서울 강남구 영동대로 513 뉴코엑스몰 103호,15
청담하게 본점,일본식주점,null data,null data,5.0,14,,서울 강남구 학동로82길 12,29
알로하테이블 코엑스 파르나스몰점,카페,영업중,매일 10:00 ~ 22:00,2.5,92,,서울 강남구 테헤란로 521 그랜드인터컨티넨탈 서울 파르나스호텔 지하1층,11
스노우폭스 선릉역점,도시락,영업중,월~금 07:30 ~ 21:00,3.1,39,,서울 강남구 테헤란로 415 1층,8
화평칼국수,국수,영업중,월~토 11:00 ~ 21:00,3.3,5,,서울 강남구 삼성로 654,30
에그슬럿 코엑스점,샌드위치,영업중,매일 08:00 ~ 22:00,2.2,572,,서울 강남구 삼성동 159-9 지하1층 A101호,12
로네펠트티하우스 선릉점,카페,영업중,월~금 07:00 ~ 22:00,4.0,6,,서울 강남구 테헤란로69길 13 명지빌딩 1층,6
시골진지상,한식,null data,null data,2.9,3,,서울 강남구 삼성로 535,7
스시히로바 삼성동본점,스시히로바,영업중,매일 11:30 ~ 22:00,2.6,36,,서울 강남구 삼성로 620 1층,21
북앤레스트,북카페,영업중,매일 11:30 ~ 19:30,4.7,44,,서울 강남구 삼성로104길 22 1층,10
우츠와,일식,영업중,월~금 11:00 ~ 23:00,3.7,38,,서울 강남구 학동로56길 32,32
그때그집 본관,실내포장마차,영업중,매일 15:00 ~ 03:00,4.3,3,,서울 강남구 테헤란로83길 50 1층,9
노브랜드버거 코엑스점,노브랜드버거,영업중,매일 10:00 ~ 22:00,2.9,231,,서울 강남구 영동대로 513 1층,15
삼성국수,국수,영업중,매일 11:00 ~ 21:30,2.8,7,,서울 강남구 영동대로 611 찬엔찬타워 지하 1층,21
로네펠트티하우스 코엑스점,카페,영업중,매일 10:30 ~ 22:00,2.9,20,,서울 강남구 영동대로 513 1층 E001호,15
송강민물장어,장어,영업중,월~토 11:30 ~ 22:00,3.2,16,,서울 강남구 영동대로115길 14,20
크랩52,해산물뷔페,null data,null data,4.6,30,,서울 강남구 영동대로 511 트레이드타워 52층,14
등심팩토리 삼성본점,"육류,고기",영업중,월~토 17:00 ~ 23:00,4.0,24,,서울 강남구 삼성로100길 23-8,9
하드워커,피자,영업중,월~금 11:30 ~ 24:00,3.6,27,,"서울 강남구 삼성로100길 23-30 1,2층",10
앤헤이븐,양식,영업중,매일 10:00 ~ 21:00,4.5,27,,서울 강남구 영동대로129길 22,28
에드빗커피,커피전문점,영업중,월~금 08:30 ~ 20:00,4.5,61,,서울 강남구 봉은사로68길 41 1층,10
강남식당,삼겹살,영업중,매일 11:30 ~ 23:00,4.2,29,,서울 강남구 봉은사로63길 6,20
홍대개미 파르나스몰점,퓨전일식,영업중,매일 10:00 ~ 22:00,1.8,79,,"서울 강남구 테헤란로 521 지하1층 F09,10호",11
428레스토랑,양식,브레이크타임,매일 11:30 ~ 22:00,4.6,62,,서울 강남구 봉은사로 428,19
마쯔가제,일식집,영업중,매일 10:00 ~ 22:00,2.3,32,,서울 강남구 테헤란로87길 46 호텔오크우드 프리미어 3층,15
교토가츠규 삼성오크우드점,"돈까스,우동",영업중,매일 11:00 ~ 21:30,2.5,22,,서울 강남구 테헤란로87길 46 한무컨벤션주식회사 건물내 컨벤션별관 지하2층 2A9호,15
더하노이 삼성본점,동남아음식,영업중,매일 11:00 ~ 22:00,2.3,46,,서울 강남구 영동대로106길 33,24
